date,text,type,username,tweet,state,road_closure,modified_text,location
2016-10-08 11:28:02+00:00,update  disabled truck in duval on i-10 east ramp to exit 360 mcduff ,official,fl511_northeast,UPDATE  Disabled truck in Duval on I-10 east ramp to Exit 360 Mcduff ,Florida,1,At Update  Disabled Truck At Duval At Interstate 10 East Ramp To Exit 360 Mcduff ,{'Interstate 10 East Ramp'}
2016-10-08 11:23:02+00:00,new  unconfirmed disabled vehicle in duval on i-10 east ramp to exit 360 mcduff ,official,fl511_northeast,NEW  Unconfirmed disabled vehicle in Duval on I-10 east ramp to Exit 360 Mcduff ,Florida,1,At New  Unconfirmed Disabled Vehicle At Duval At Interstate 10 East Ramp To Exit 360 Mcduff ,{'Interstate 10 East Ramp'}
2016-10-08 10:53:03+00:00,new  object on roadway in duval on i-95 south beyond us-90 left lane blocked ,official,fl511_northeast,NEW  Object on roadway in Duval on I-95 south beyond US-90 left lane blocked ,Florida,1,At New  Object At Roadway At Duval At Interstate 95 South Beyond Us-90 Left Lane Blocked ,{'Interstate 95 South Beyond Us-90 Left Lane Blocked'}
2016-10-08 09:23:07+00:00,jacksonville  all intracoastal waterway bridges are closed due to severe weather  please use caution ,official,fl511_northeast,JACKSONVILLE  ALL INTRACOASTAL WATERWAY BRIDGES ARE CLOSED DUE TO SEVERE WEATHER  PLEASE USE CAUTION ,Florida,1,At Jacksonville  All Intracoastal Waterway Bridges Are Closed Due To Severe Weather  Please Use Caution ,{'Jacksonville'}
2016-10-08 08:28:03+00:00,update  object on roadway in duval on i-95 south ramp from exit 341 baymeadows right lane blocked ,official,fl511_northeast,UPDATE  Object on roadway in Duval on I-95 south ramp from Exit 341 Baymeadows right lane blocked ,Florida,1,At Update  Object At Roadway At Duval At Interstate 95 South Ramp From Exit 341 Baymeadows Right Lane Blocked ,"{'Exit 341', 'Interstate 95 South Ramp'}"
2016-10-08 08:23:29+00:00,amelia island  the thomas j  shave jr  bridge on sr-200 at kingsley creek is closed in both directions due to severe weather  use   ,official,fl511_northeast,AMELIA ISLAND  THE THOMAS J  SHAVE JR  BRIDGE ON SR-200 AT KINGSLEY CREEK IS CLOSED IN BOTH DIRECTIONS DUE TO SEVERE WEATHER  USE   ,Florida,1,At Amelia Island  The Thomas J  Shave Jr  Bridge On Sr-200 At Kingsley Creek Is Closed In Both Directions Due To Severe Weather  Use   ,"{'Kingsley Creek', 'Amelia Island'}"
2016-10-08 07:23:12+00:00,amelia island  the thomas j  shave jr  bridge on sr-200 at kingsley creek is closed in both directions due to severe weather  use    ,official,fl511_northeast,AMELIA ISLAND  THE THOMAS J  SHAVE JR  BRIDGE ON SR-200 AT KINGSLEY CREEK IS CLOSED IN BOTH DIRECTIONS DUE TO SEVERE WEATHER  USE    ,Florida,1,At Amelia Island  The Thomas J  Shave Jr  Bridge On Sr-200 At Kingsley Creek Is Closed In Both Directions Due To Severe Weather  Use    ,"{'Kingsley Creek', 'Amelia Island'}"
2016-10-08 06:38:01+00:00,update  object on roadway in duval on i-95 north at exit 341 baymeadows 2 right lanes blocked ,official,fl511_northeast,UPDATE  Object on roadway in Duval on I-95 north at Exit 341 Baymeadows 2 right lanes blocked ,Florida,1,At Update  Object At Roadway At Duval At Interstate 95 North At Exit 341 Baymeadows 2 Right Lanes Blocked ,"{'Exit 341', 'Interstate'}"
2016-10-08 05:23:29+00:00,amelia island  the thomas j  shave jr  bridge on sr-200 at kingsley creek is closed in both directions due to severe weather  use   ,official,fl511_northeast,AMELIA ISLAND  THE THOMAS J  SHAVE JR  BRIDGE ON SR-200 AT KINGSLEY CREEK IS CLOSED IN BOTH DIRECTIONS DUE TO SEVERE WEATHER  USE   ,Florida,1,At Amelia Island  The Thomas J  Shave Jr  Bridge On Sr-200 At Kingsley Creek Is Closed In Both Directions Due To Severe Weather  Use   ,"{'Kingsley Creek', 'Amelia Island'}"
2016-10-08 05:18:27+00:00,new  object on roadway in duval on i-95 north at exit 341 baymeadows 2 right lanes blocked ,official,fl511_northeast,NEW  Object on roadway in Duval on I-95 north at Exit 341 Baymeadows 2 right lanes blocked ,Florida,1,At New  Object At Roadway At Duval At Interstate 95 North At Exit 341 Baymeadows 2 Right Lanes Blocked ,"{'Exit 341', 'Interstate'}"
