date,text,type,username,tweet,road_closure,modified_text,location
2016-11-29 22:49:38+00:00,UPDATE  Traffic congestion in Duval on I-295 W north from Buckman to ramp to Exit 10 US-17 ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-295 W north from Buckman to ramp to Exit 10 US-17 ,1,At Update  Traffic Congestion At Duval At Interstate 295 West North From Buckman To Ramp To Exit 10 Us-17 ,"{'Buckman', 'Exit 10 Us-17', 'West North'}"
2016-11-29 22:49:38+00:00,"CLEARED  Disabled truck in Duval on I-295 W south before Pritchard Rd, right shoulder blocked ",official,fl511_northeast,"CLEARED  Disabled truck in Duval on I-295 W south before Pritchard Rd, right shoulder blocked ",1,"At Cleared  Disabled Truck At Duval At Interstate 295 West South Before Pritchard Rd, Right Shoulder Blocked ",
2016-11-29 22:44:11+00:00,NEW  Traffic congestion in Duval on I-295 E north from ramp from Exit 58 SR-9B to at Exit 56 Baymeadows ,official,fl511_northeast,NEW  Traffic congestion in Duval on I-295 E north from ramp from Exit 58 SR-9B to at Exit 56 Baymeadows ,1,At New  Traffic Congestion At Duval At Interstate 295 East North From Ramp From Exit 58 Sr-9B To At Exit 56 Baymeadows ,"{'East North', 'Interstate 295', 'Exit 56', 'Exit 58 Sr-9B'}"
2016-11-29 22:39:11+00:00,NEW  Traffic congestion in Duval on I-95 south from Exit 337 I-295 W to at Exit 335 St Aug Rd ,official,fl511_northeast,NEW  Traffic congestion in Duval on I-95 south from Exit 337 I-295 W to at Exit 335 St Aug Rd ,1,At New  Traffic Congestion At Duval At Interstate 95 South From Exit 337 Interstate 295 West To At Exit 335 St Aug Rd ,"{'Interstate 95', 'Exit 337 Interstate 295 West'}"
2016-11-29 22:39:10+00:00,UPDATE  Traffic congestion in Duval on I-95 south at Exit 337 I-295 W ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-95 south at Exit 337 I-295 W ,1,At Update  Traffic Congestion At Duval At Interstate 95 South At Exit 337 Interstate 295 West ,{'Exit 337 Interstate'}
2016-11-29 22:35:54+00:00,NEW  Traffic congestion in Duval on I-295 W south ramp to Exit 10 US-17 ,official,fl511_northeast,NEW  Traffic congestion in Duval on I-295 W south ramp to Exit 10 US-17 ,1,At New  Traffic Congestion At Duval At Interstate 295 West South Ramp To Exit 10 Us-17 ,{'Interstate 295 West South Ramp'}
2016-11-29 22:35:53+00:00,UPDATE  Traffic congestion in Duval on I-95 south from before Exit 353 Union St to ramp to Exit 351 I-10 ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-95 south from before Exit 353 Union St to ramp to Exit 351 I-10 ,1,At Update  Traffic Congestion At Duval At Interstate 95 South From Before Exit 353 Union St To Ramp To Exit 351 Interstate 10 ,{'Exit 351 Interstate 10'}
2016-11-29 22:29:42+00:00,UPDATE  Traffic congestion in Duval on I-295 E south from Exit 53 Butler to at Exit 56 Baymeadows ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-295 E south from Exit 53 Butler to at Exit 56 Baymeadows ,1,At Update  Traffic Congestion At Duval At Interstate 295 East South From Exit 53 Butler To At Exit 56 Baymeadows ,"{'East South', 'Exit 56'}"
2016-11-29 22:24:31+00:00,NEW  Traffic congestion in Duval on SR-202   Butler Blvd east from I-295 E to at Kernan Blvd ,official,fl511_northeast,NEW  Traffic congestion in Duval on SR-202   Butler Blvd east from I-295 E to at Kernan Blvd ,1,At New  Traffic Congestion At Duval At Sr-202   Butler Boulevard East From Interstate 295 East To At Kernan Boulevard ,"{'Kernan Boulevard', 'East'}"
2016-11-29 22:24:30+00:00,"UPDATE  Disabled truck in Duval on I-295 W south before Pritchard Rd, right shoulder blocked ",official,fl511_northeast,"UPDATE  Disabled truck in Duval on I-295 W south before Pritchard Rd, right shoulder blocked ",1,"At Update  Disabled Truck At Duval At Interstate 295 West South Before Pritchard Rd, Right Shoulder Blocked ","{'Interstate 295 West South Before Pritchard Rd,'}"
2016-11-29 22:24:15+00:00,"UPDATE  Disabled vehicle in Duval on I-295 W north at Buckman, left shoulder blocked ",official,fl511_northeast,"UPDATE  Disabled vehicle in Duval on I-295 W north at Buckman, left shoulder blocked ",1,"At Update  Disabled Vehicle At Duval At Interstate 295 West North At Buckman, Left Shoulder Blocked ","{'Buckman', 'West North'}"
2016-11-29 22:19:09+00:00,UPDATE  Traffic congestion in Duval on I-95 north from Exit 347 Emerson to ramp to Exit 351 I-10 ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-95 north from Exit 347 Emerson to ramp to Exit 351 I-10 ,1,At Update  Traffic Congestion At Duval At Interstate 95 North From Exit 347 Emerson To Ramp To Exit 351 Interstate 10 ,"{'Exit 351 Interstate 10', 'Exit 347 Emerson'}"
2016-11-29 22:15:02+00:00,NEW  Traffic congestion in Duval on I-295 W north from Buckman to ramp to Exit 10 US-17 ,official,fl511_northeast,NEW  Traffic congestion in Duval on I-295 W north from Buckman to ramp to Exit 10 US-17 ,1,At New  Traffic Congestion At Duval At Interstate 295 West North From Buckman To Ramp To Exit 10 Us-17 ,"{'Interstate 295 West North From Buckman', 'Exit 10 Us-17'}"
2016-11-29 22:14:42+00:00,UPDATE  Traffic congestion in Duval on I-95 north from beyond Emerson to ramp to Exit 351 I-10 ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-95 north from beyond Emerson to ramp to Exit 351 I-10 ,1,At Update  Traffic Congestion At Duval At Interstate 95 North From Beyond Emerson To Ramp To Exit 351 Interstate 10 ,{'Exit 351 Interstate 10'}
2016-11-29 22:10:03+00:00,"NEW  Crash in Duval on I-95 north before Fuller Warren, 2 left lanes blocked ",official,fl511_northeast,"NEW  Crash in Duval on I-95 north before Fuller Warren, 2 left lanes blocked ",1,"At New  Crash At Duval At Interstate 95 North Before Fuller Warren, 2 Left Lanes Blocked ",
2016-11-29 22:05:23+00:00,UPDATE  Traffic congestion in Duval on I-95 south from before Exit 353 Union St to ramp to Exit 351 I-10 ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-95 south from before Exit 353 Union St to ramp to Exit 351 I-10 ,1,At Update  Traffic Congestion At Duval At Interstate 95 South From Before Exit 353 Union St To Ramp To Exit 351 Interstate 10 ,{'Exit 351 Interstate 10'}
2016-11-29 22:05:23+00:00,UPDATE  Traffic congestion in Duval on SR-202   Butler Blvd west from Southside to at I-95 ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on SR-202   Butler Blvd west from Southside to at I-95 ,1,At Update  Traffic Congestion At Duval At Sr-202   Butler Boulevard West From Southside To At Interstate 95 ,{'Interstate 95'}
2016-11-29 21:54:30+00:00,NEW  Traffic congestion in Duval on I-95 south from before Exit 353 Union St to ramp to Exit 351 I-10 ,official,fl511_northeast,NEW  Traffic congestion in Duval on I-95 south from before Exit 353 Union St to ramp to Exit 351 I-10 ,1,At New  Traffic Congestion At Duval At Interstate 95 South From Before Exit 353 Union St To Ramp To Exit 351 Interstate 10 ,{'Exit 351 Interstate 10'}
